guid;fichier_source;nb_dk;nb_dk_fin01;nb_oracle_source;montant_dk_entete;montant_dk;montant_dk_fin01;montant_oracle_source;euro_lines;statut_lignes;statut_montant
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_30003-0479DCWGPX-20260731-48640801_20260731-022044.txt;1;1;1;12613;12613;12613;12613;1;OK;OK
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_30003-0514DNAGPX-20260731-48640801_20260731-022044.txt;1;1;1;65194;65194;65194;65194;1;OK;OK
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_30004-0001DLSGPX-20260731-48640801_20260731-022044.txt;1;1;1;1250465;1250465;1250465;1250465;1;OK;OK
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_30004-0001DNAGPX-20260731-48640801_20260731-022044.txt;1;1;1;6023031;6023031;6023031;6023031;1;OK;OK
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_30004-0001DSWGPX-20260731-48640801_20260731-022044.txt;1;1;1;676684;676684;676684;676684;1;OK;OK
0b162b5edf254caf9ecf51d56a525763;DK_FIN01_30004-0149DSWGPX-20260731-48640801_20260731-022044.txt;1;1;1;456960;456960;456960;456960;1;OK;OK
0bc72410b32e401ca9b5897d8ff910b6;DK_FIN01_30003-0001DCWEXP-20260731-48639843_20260731-010354.txt;37;37;37;23944582;23944582;23944582;23944582;1;OK;OK
0bc72410b32e401ca9b5897d8ff910b6;DK_FIN01_30003-0001DEWEXP-20260731-48639843_20260731-010354.txt;61;61;61;22605405;22605405;22605405;22605405;1;OK;OK
0bc72410b32e401ca9b5897d8ff910b6;DK_FIN01_30003-0001DLSEXP-20260731-48639843_20260731-010354.txt;43;43;43;13188529;13188529;13188529;13188529;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0001DMSEXP-20260731-48639843_20260731-010354.txt;12;12;12;5889251;5889251;5889251;5889251;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0001DNAEXP-20260731-48639843_20260731-010354.txt;13;13;13;5348961;5348961;5348961;5348961;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0001DOSEXP-20260731-48639843_20260731-010354.txt;5;5;5;310960;310960;310960;310960;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0001DRWEXP-20260731-48639843_20260731-010354.txt;31;31;31;68204886;68204886;68204886;68204886;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0001DSWEXP-20260731-48639843_20260731-010354.txt;20;20;20;8408890;8408890;8408890;8408890;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0198DLSEXP-20260731-48639843_20260731-010354.txt;1;1;1;58440;58440;58440;58440;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0218DRWEXP-20260731-48639843_20260731-010354.txt;1;1;1;61000;61000;61000;61000;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0245DLSEXP-20260731-48639843_20260731-010354.txt;8;8;8;6077754;6077754;6077754;6077754;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0261DLSEXP-20260731-48639843_20260731-010354.txt;1;1;1;1010340;1010340;1010340;1010340;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0306DCWEXP-20260731-48639843_20260731-010354.txt;1;1;1;1159016;1159016;1159016;1159016;1;OK;OK
